odbor:(fakulta:VS)          (Intercept)
strojarstvo:FEI:STU            0.253003563
strojarstvo:FMMR:TUKE         -0.158844787
strojarstvo:FPT:TUAD           0.152488341
strojarstvo:FST:TUAD           0.187016915
strojarstvo:FTECH:TUZV         0.067097998
strojarstvo:FVT:TUKE           0.025506176
strojarstvo:MTF:STU            0.223469000
strojarstvo:STRJSTU:STU       -0.331596486
strojarstvo:STRJTUKE:TUKE      0.068363513
strojarstvo:STRJZU:ZU          0.088671621
strojarstvo:TFSPU:SPU          0.049093503
teologia:EBF:UK                0.112336869
teologia:GKTF:PU               0.110915674
teologia:PBF:PU                0.056712530
teologia:PEDUMB:UMB            0.134048306
teologia:RKF:UK               -0.080518953
teologia:RTF:UJS               0.277169506
teologia:TFKU:KU              -0.033901182
teologia:TFTTU:TTU            -0.031052262
ucitelstvo:EBF:UK             -0.044269624
ucitelstvo:FHPV:PU            -0.563955119
ucitelstvo:FHVZU:ZU           -0.197212178
ucitelstvo:FIFKU:KU            0.125415632
ucitelstvo:FIFPU:PU           -1.201893009
ucitelstvo:FIFUCM:UCM          0.135763746
ucitelstvo:FIFUK:UK           -0.144285646
ucitelstvo:FIFUKF:UKF         -0.159686060
ucitelstvo:FIFUMB:UMB         -0.154738193
ucitelstvo:FIFUPJS:UPJS       -0.763821418
ucitelstvo:FMFI:UK             0.248750682
ucitelstvo:FPVUKF:UKF         -0.367816934
ucitelstvo:FPVUMB:UMB         -0.286767525
ucitelstvo:FSPORT:PU          -0.250123601
ucitelstvo:FSS:UKF            -0.245857440
ucitelstvo:FTVS:UK             0.018458919
ucitelstvo:PEDKU:KU           -0.386580457
ucitelstvo:PEDPU:PU           -0.244927578
ucitelstvo:PEDTTU:TTU         -0.237650167
ucitelstvo:PEDUJS:UJS          0.057455422
ucitelstvo:PEDUK:UK           -0.954928554
ucitelstvo:PEDUKF:UKF         -0.455786966
ucitelstvo:PEDUMB:UMB          0.126945523
ucitelstvo:PRIRUK:UK          -0.452909637
ucitelstvo:PRIRUPJS:UPJS      -0.047316871
ucitelstvo:RPU:PU             -0.097834191
ucitelstvo:TFKU:KU             0.056598487
umenie:DIVF:VSMU              -0.218326746
umenie:DREVF:TUZV              0.063786668
umenie:FAD:STU                -0.118505699
umenie:FDU:AU                  0.200717326
umenie:FMU:AU                  0.029043404
umenie:FTF:VSMU               -0.188149269
umenie:FU:TUKE                -0.227511934
umenie:FVU:AU                  0.149395905
umenie:HTF:VSMU               -0.103292667
umenie:RVSVU:VSVU             -0.007514772
umenoveda:DIVF:VSMU           -0.133032476
umenoveda:FIFTTU:TTU          -0.083177893
umenoveda:FIFUK:UK             0.107539251
umenoveda:FIFUKF:UKF          -0.285357789
umenoveda:FTF:VSMU            -0.001019491
umenoveda:HTF:VSMU             0.043553251
umenoveda:PEDUKF:UKF          -0.098576132
umenoveda:RVSVU:VSVU          -0.199081843
vedyzem:FHPV:PU                0.091068987
vedyzem:FPVUKF:UKF            -0.031528749
vedyzem:FPVUMB:UMB             0.111256334
vedyzem:PRIRUK:UK              0.039122606
vedyzem:PRIRUPJS:UPJS          0.082226206
verejzdrav:FZSP:TTU            0.013913926
verejzdrav:FZTUAD:TUAD         0.009352583
verejzdrav:JLF:UK              0.121523046
verejzdrav:LFUPJS:UPJS        -0.028897110
veterina:RUVLF:UVLF           -0.210696884
zdravotmictvo:FAF:UK          -0.203819006
zdravotmictvo:FSVZ:UKF         0.164076202
zdravotmictvo:FZ:KU           -0.115485697
zdravotmictvo:FZO:PU          -0.020459140
zdravotmictvo:FZSP:TTU        -0.971598457
zdravotmictvo:FZTUAD:TUAD     -0.243268928
zdravotmictvo:FZVUCM:UCM      -0.352575042
zdravotmictvo:LFUPJS:UPJS     -0.043063074
zemzdroje:FBERG:TUKE          -0.128464190
zemzdroje:FMMR:TUKE            0.263208709
