odbor:(fakulta:VS)         (Intercept)
ucitelstvo:PEDPU:PU           -0.440223730
ucitelstvo:PEDTTU:TTU         -0.404189453
ucitelstvo:PEDUJS:UJS          0.189343204
ucitelstvo:PEDUK:UK           -0.779644252
ucitelstvo:PEDUKF:UKF         -0.182820027
ucitelstvo:PEDUMB:UMB         -0.063777371
ucitelstvo:PRIRUK:UK          -1.941729308
ucitelstvo:PRIRUPJS:UPJS      -0.217783585
ucitelstvo:RPU:PU             -0.026698915
ucitelstvo:TFKU:KU             0.405368395
umenie:DIVF:VSMU              -1.209256930
umenie:DREVF:TUZV             -0.154980747
umenie:FAD:STU                -0.689180066
umenie:FDU:AU                  0.628273419
umenie:FMU:AU                 -0.291318220
umenie:FTF:VSMU               -0.154490946
umenie:FU:TUKE                -0.501400398
umenie:FVU:AU                  0.045238689
umenie:HTF:VSMU               -0.005306141
umenie:RVSVU:VSVU             -0.335974679
umenoveda:DIVF:VSMU           -0.146244759
umenoveda:FIFTTU:TTU          -0.181566208
umenoveda:FIFUK:UK            -0.025935903
umenoveda:FIFUKF:UKF          -0.263014014
umenoveda:FTF:VSMU             0.096399008
umenoveda:HTF:VSMU            -0.149260070
umenoveda:PEDUKF:UKF          -0.361271839
umenoveda:RVSVU:VSVU          -0.411754855
vedyzem:FHPV:PU                0.324605147
vedyzem:FPVUKF:UKF             0.034209455
vedyzem:FPVUMB:UMB             0.045211889
vedyzem:PRIRUK:UK             -0.153447437
vedyzem:PRIRUPJS:UPJS          0.122366967
verejzdrav:FZSP:TTU           -0.150564725
verejzdrav:FZTUAD:TUAD         0.078065256
verejzdrav:JLF:UK              0.477090903
verejzdrav:LFUPJS:UPJS        -0.396003962
veterina:RUVLF:UVLF           -0.095901957
zdravotmictvo:FAF:UK          -0.123009422
zdravotmictvo:FSVZ:UKF         0.541965491
zdravotmictvo:FZ:KU           -0.985434024
zdravotmictvo:FZO:PU          -0.044929392
zdravotmictvo:FZSP:TTU        -0.698526348
zdravotmictvo:FZTUAD:TUAD     -0.694706929
zdravotmictvo:FZVUCM:UCM      -2.085668070
zdravotmictvo:LFUPJS:UPJS     -0.041568159
zemzdroje:FBERG:TUKE          -0.210483550
zemzdroje:FMMR:TUKE            0.331954226
