odbor:(fakulta:VS)            (Intercept)
socialnapraca:PEDKU:KU         6.597831e-01
socialnapraca:PEDUK:UK         1.363949e-01
socialnapraca:PEDUMB:UMB       3.196503e-03
socialnapraca:TFKU:KU          9.162317e-01
socialnapraca:TFTTU:TTU       -3.559476e-02
socioantropologia:FIFTTU:TTU   1.467072e-02
socioantropologia:FIFUK:UK     3.416898e-01
socioantropologia:FIFUKF:UKF   8.307032e-02
socioantropologia:FSEV:UK     -7.459618e-02
sport:FSPORT:PU               -2.573801e-01
sport:FTVS:UK                 -7.460419e-01
sport:PEDUKF:UKF               5.697718e-02
sport:RUPJS:UPJS               2.146692e-01
stavebnictvo:STFSTU:STU       -4.401981e-01
stavebnictvo:STFTUKE:TUKE      4.978652e-02
stavebnictvo:STFZU:ZU         -1.546320e-01
strojarstvo:FEI:STU            5.128656e-01
strojarstvo:FMMR:TUKE         -2.112087e-01
strojarstvo:FPT:TUAD           2.211762e-01
strojarstvo:FST:TUAD           8.087094e-01
strojarstvo:FTECH:TUZV        -5.077812e-02
strojarstvo:FVT:TUKE           2.131015e-01
strojarstvo:MTF:STU            4.853946e-01
strojarstvo:STRJSTU:STU       -1.073313e+00
strojarstvo:STRJTUKE:TUKE      2.027162e-01
strojarstvo:STRJZU:ZU         -9.599184e-02
strojarstvo:TFSPU:SPU         -4.119858e-01
teologia:EBF:UK                1.262184e-01
teologia:GKTF:PU               1.833603e+00
teologia:PBF:PU                3.550211e-01
teologia:PEDUMB:UMB            4.752391e-01
teologia:RKF:UK                1.901659e-01
teologia:RTF:UJS               1.440628e+00
teologia:TFKU:KU               3.844557e-01
teologia:TFTTU:TTU             2.965859e-01
ucitelstvo:EBF:UK             -9.878406e-02
ucitelstvo:FHPV:PU            -9.147482e-01
ucitelstvo:FHVZU:ZU           -2.928503e-01
ucitelstvo:FIFKU:KU            3.451543e-01
ucitelstvo:FIFPU:PU           -1.231351e+00
ucitelstvo:FIFUCM:UCM          5.505041e-01
ucitelstvo:FIFUK:UK            9.544440e-02
ucitelstvo:FIFUKF:UKF         -6.214159e-01
ucitelstvo:FIFUMB:UMB         -4.492953e-01
ucitelstvo:FIFUPJS:UPJS       -6.030542e-01
ucitelstvo:FMFI:UK             8.168368e-01
ucitelstvo:FPVUKF:UKF         -1.696573e-01
ucitelstvo:FPVUMB:UMB         -4.679110e-02
ucitelstvo:FSPORT:PU          -8.474433e-01
ucitelstvo:FSS:UKF            -3.521481e-01
ucitelstvo:FTVS:UK            -8.329692e-02
ucitelstvo:PEDKU:KU           -1.141578e-01
ucitelstvo:PEDPU:PU           -5.096891e-01
ucitelstvo:PEDTTU:TTU         -1.454319e-01
ucitelstvo:PEDUJS:UJS          7.775981e-01
ucitelstvo:PEDUK:UK           -8.804040e-01
ucitelstvo:PEDUKF:UKF         -2.265643e-01
ucitelstvo:PEDUMB:UMB          2.770277e-01
ucitelstvo:PRIRUK:UK          -1.724658e+00
ucitelstvo:PRIRUPJS:UPJS      -5.039972e-02
ucitelstvo:RPU:PU             -7.135395e-02
ucitelstvo:TFKU:KU             5.730869e-01
umenie:DIVF:VSMU              -5.243538e-01
umenie:DREVF:TUZV             -3.859068e-01
umenie:FAD:STU                -7.524259e-02
umenie:FDU:AU                  7.091346e-01
umenie:FMU:AU                  2.327218e-05
umenie:FTF:VSMU                3.205270e-01
umenie:FU:TUKE                -3.636707e-01
umenie:FVU:AU                  4.817946e-01
umenie:HTF:VSMU               -3.905416e-01
umenie:RVSVU:VSVU              3.084269e-02
umenoveda:DIVF:VSMU           -2.403179e-01
umenoveda:FIFTTU:TTU          -4.184274e-01
umenoveda:FIFUK:UK             4.156573e-01
umenoveda:FIFUKF:UKF          -5.643990e-01
umenoveda:FTF:VSMU            -1.563280e-01
umenoveda:HTF:VSMU            -4.199229e-01
umenoveda:PEDUKF:UKF          -7.214334e-01
umenoveda:RVSVU:VSVU          -2.537587e-01
vedyzem:FHPV:PU                2.661684e-01
vedyzem:FPVUKF:UKF             5.375050e-02
vedyzem:FPVUMB:UMB             9.059609e-02
vedyzem:PRIRUK:UK             -6.259096e-01
vedyzem:PRIRUPJS:UPJS          5.379934e-01
verejzdrav:FZSP:TTU           -1.165758e-01
verejzdrav:FZTUAD:TUAD         1.287192e-01
verejzdrav:JLF:UK             -4.836907e-03
verejzdrav:LFUPJS:UPJS        -9.736775e-01
veterina:RUVLF:UVLF           -6.124792e-01
zdravotmictvo:FAF:UK          -1.318420e-01
zdravotmictvo:FSVZ:UKF         9.193831e-01
zdravotmictvo:FZ:KU           -1.167771e+00
zdravotmictvo:FZO:PU           4.709298e-02
zdravotmictvo:FZSP:TTU        -1.306569e+00
zdravotmictvo:FZTUAD:TUAD     -1.119529e+00
zdravotmictvo:FZVUCM:UCM      -3.951433e+00
zdravotmictvo:LFUPJS:UPJS     -8.714829e-02
zemzdroje:FBERG:TUKE          -3.279140e-01
zemzdroje:FMMR:TUKE            1.048417e+00
